x1,x2,cluster
-2.8967,3.9063,272
3.4568,-0.99771,273
-1.9547,2.9085,274
4.9374,4.7233,275
-3.8674,4.9426,276
4.6291,6.7931,277
-2.2421,7.4885,278
4.1042,2.2557,279
1.4501,4.5364,280
4.601,1.3522,281
-2.5942,5.0828,282
4.2225,2.2399,283
-0.44259,4.7423,284
3.5856,5.5377,285
-2.8579,5.6427,286
3.9053,9.0114,287
-0.78559,3.8627,288
3.5789,5.7875,289
-1.1239,4.3656,290
-2.3201,-3.0011,291
-2.5773,-4.8329,292
1.9398,2.1835,293
-7.969,-9.0567,294
-5.1357,-5.0391,295
-3.7722,-3.928,296
-1.8879,-2.4488,297
-0.87956,-0.35297,298
-5.0074,-5.5124,299
-0.17428,-2.0428,300
-2.8674,-3.706,301
-0.49909,-1.6019,302
-5.7375,-5.2794,303
2.4581,1.134,304
-8.8572,-9.7569,305
-2.2742,-3.4144,306
-2.0785,-2.8575,307
-2.1301,-2.3581,308
-4.8923,-5.0264,309
-4.1633,-4.1605,310
-4.9662,-4.3394,311
-1.7976,-2.5972,312
-4.797,-5.3187,313
-4.0304,-4.6156,314
3.9319,4.8263,315
2.9496,2.2917,316
4.4533,6.0306,317
3.6769,7.2195,318
3.7776,2.2751,319
-2.1358,2.1833,320
-3.3866,-4.2616,321
-2.4989,-3.1951,322
5.4275,-5.1996,323
3.2714,-3.2913,324
3.6667,-5.4299,325
3.1996,-4.2467,326
3.9487,-3.978,327
3.323,-5.0923,328
3.4077,-5.2125,329
2.5883,-4.5616,330
4.9396,-3.7992,331
3.4996,-4.7971,332
3.9549,-2.8477,333
4.4672,-5.2853,334
3.9771,-5.8746,335
3.2576,-3.412,336
3.6935,-0.51765,337
-1.2999,2.7554,338
4.3998,0.54835,339
-2.1732,6.1609,340
3.5987,1.1724,341
-4.2041,1.6046,342
3.9004,-1.1343,343
-2.6035,3.6425,344
3.9491,3.2027,345
0.048366,5.0977,346
4.5856,2.1531,347
-2.0891,4.1639,348
-1.3477,-2.881,349
-4.7086,-5.4692,350
1.9789,1.5168,351
3.9823,2.8769,352
-2.1,5.7945,353
-4.4638,-5.9922,354
-3.2302,-2.5581,355
-3.5148,-4.3457,356
-0.31993,-1.9771,357
-1.5641,-1.4856,358
2.9451,1.6211,359
-3.2555,-4.3771,360
-5.8734,-6.8819,361
-4.6493,-5.3944,362
-5.1804,-5.8217,363
-0.80557,-1.6731,364
-1.3568,-2.3314,365
-2.1038,-2.7101,366
-1.2224,-1.6403,367
-2.7811,-3.955,368
-3.0974,-3.7423,369
-0.90066,-1.4437,370
-0.88375,-2.0386,371
3.0176,2.5822,372
-3.8465,-3.2908,373
-0.10906,-0.66399,374
2.2317,1.6163,375
-5.3679,-5.2427,376
3.7873,6.7762,377
4.2726,7.414,378
-1.917,6.7981,379
3.5429,3.3781,380
-1.52,3.4396,381
-6.1823,-6.1833,382
-8.4768,-8.6457,383
3.8484,-3.1225,384
-2.6823,6.1854,385
4.003,6.8276,386
-0.22063,4.1701,387
4.1718,0.36369,388
-4.1914,2.3526,389
-2.7859,-3.2817,390
-4.6301,-4.3811,391
-2.9214,-3.1551,392
-6.168,-5.7083,393
-5.0697,-5.8915,394
5.7916,-4.7474,395
4.004,-3.5499,396
3.1497,1.6276,397
-0.88009,2.2903,398
3.2194,7.5905,399
-0.83187,3.5615,400
4.4622,7.5957,401
3.7712,-5.6106,402
4.7404,-3.7217,403
2.7255,-2.0637,404
5.9585,-3.513,405
4.4933,-3.59,406
4.7518,-2.8339,407
4.3798,-2.7528,408
4.7651,-0.84398,409
-1.0548,7.372,410
3.8066,-2.9404,411
-4.9757,4.2238,412
4.0636,4.5207,413
-3.4687,1.8693,414
4.807,10.118,415
-2.607,2.3596,416
3.8759,4.6343,417
1.8351,4.0183,418
3.9743,1.3937,419
-1.047,4.8668,420
4.0907,4.0664,421
-0.72718,6.5097,422
4.631,6.3615,423
-2.018,3.9771,424
4.7558,8.0755,425
-2.9022,-3.2036,426
-2.6121,-3.2505,427
-1.6416,-1.401,428
-1.554,-1.714,429
-4.5754,-4.9314,430
-3.3874,-3.2293,431
0.80596,-0.28273,432
0.29144,0.31055,433
-1.1098,-1.0884,434
-4.0911,-4.0292,435
-3.0079,-3.308,436
4.1569,3.6405,437
-3.8159,-4.7663,438
-0.7173,-1.7444,439
-4.9813,-5.1365,440
-4.1847,-4.8179,441
-1.778,-3.1563,442
-3.7228,-5.3512,443
-4.5548,-4.5827,444
3.9443,-2.3816,445
-4.0841,4.8377,446
4.5484,-0.48432,447
-4.3493,5.7543,448
2.9174,7.7307,449
-4.4949,2.9297,450
5.2867,-2.1644,451
3.4909,-2.7531,452
2.7198,-4.2817,453
2.8146,-3.3142,454
3.1129,-2.485,455
3.3719,-2.4157,456
2.8676,-4.1425,457
2.7679,-3.312,458
3.8195,-3.7047,459
4.7983,-3.3384,460
3.3473,-6.7136,461
5.1468,-4.9632,462
2.7829,-4.9296,463
2.9354,-2.9406,464
4.7228,-4.625,465
4.3851,-2.3614,466
5.278,-4.9131,467
3.2037,-1.7062,468
4.0592,-2.3924,469
-6.3549,-6.6346,470
-5.917,-6.7503,471
-2.6437,-2.5488,472
-0.56818,-1.2981,473
-4.6186,-4.2745,474
-2.5813,-2.9707,475
-1.1014,-0.84597,476
3.485,7.9973,477
-3.3649,3.43,478
3.7886,-1.2331,479
-4.1737,5.451,480
3.7375,3.4877,481
-1.4053,8.7257,482
4.5037,0.30935,483
-5.7265,4.2021,484
3.7219,2.0385,485
-2.1572,2.9838,486
4.5102,1.8433,487
-8.9079,-9.806,488
-1.9095,-2.7737,489
-2.9942,-2.0706,490
-3.8083,-4.0658,491
-7.5274,-8.1222,492
-3.8115,-3.5646,493
-2.0464,-2.1179,494
-1.7796,-2.7828,495
-0.3628,-0.6534,496
-6.452,-6.6973,497
-7.3222,-7.5441,498
0.13535,0.1454,499
-6.9113,-6.4961,500
